horse_name,horse_id,umaban,horse_weight,weight_carry,age,sex,distance,surface,condition,course,course_enc,surface_enc,condition_enc,sex_enc,horse_num,num_horses,odds,pop_rank,jockey_name,finish,bracket,race_id,prev_finish,prev2_finish,prev3_finish,avg_finish_3r,best_finish_3r,top3_count_3r,finish_trend,prev_odds_log,rest_days,rest_category,dist_change,dist_change_abs,target
ムーンセレナーデ,2017106762,1,508,56.0,5,牡,1600,ダ,良,,10,1,0,0,1,8,15.0,8,馬渕繁治,1,1,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ウエスタンカッター,2016105429,6,462,54.0,6,牝,1600,ダ,良,,10,1,0,1,6,8,15.0,8,渡辺竜也,2,6,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ドリップワン,2018103033,8,390,54.0,4,牝,1600,ダ,良,,10,1,0,1,8,8,15.0,8,青柳正義,3,8,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ニシノライリー,2016102875,2,491,54.0,6,牝,1600,ダ,良,,10,1,0,1,2,8,15.0,8,松本剛志,4,2,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ナラ,2016105664,5,438,50.0,6,牝,1600,ダ,良,,10,1,0,1,5,8,15.0,8,深澤杏花,5,5,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ジョット,2018103486,4,474,56.0,4,牡,1600,ダ,良,,10,1,0,0,4,8,15.0,8,大原浩司,6,4,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
グレイトボルケーノ,2017106528,7,445,56.0,5,牡,1600,ダ,良,,10,1,0,0,7,8,15.0,8,岡部誠,7,7,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
グレイトデピュティ,2014104591,3,516,56.0,8,牡,1600,ダ,良,,10,1,0,0,3,8,15.0,8,森島貴之,8,3,202247012510,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
シュゴテンシ,2017104064,3,471,56.0,5,牡,1600,ダ,良,,10,1,0,0,3,10,15.0,8,松本剛志,1,2,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ペイシャラメント,2016101768,7,425,54.0,6,牝,1600,ダ,良,,10,1,0,1,7,10,15.0,8,渡辺竜也,2,5,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ネコマヒカ,2015106102,8,526,54.0,7,牡,1600,ダ,良,,10,1,0,0,8,10,15.0,8,塚本征吾,3,6,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
トリプルプレイ,2017106346,10,448,54.0,5,牝,1600,ダ,良,,10,1,0,1,10,10,15.0,8,岡部誠,4,8,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ヒルノデンハーグ,2012106232,6,472,56.0,10,セ,1600,ダ,良,,10,1,0,2,6,10,15.0,8,向山牧,5,5,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ガーネットノーム,2015101222,2,437,53.0,7,牝,1600,ダ,良,,10,1,0,1,2,10,15.0,8,妹尾将充,6,1,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
アップメイ,2015100471,1,451,54.0,7,牝,1600,ダ,良,,10,1,0,1,1,10,15.0,8,青柳正義,7,1,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
モスコミュール,2016102923,4,475,54.0,6,牝,1600,ダ,良,,10,1,0,1,4,10,15.0,8,東川慎,8,3,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ゴルトグルーベ,2015104080,5,523,56.0,7,セ,1600,ダ,良,,10,1,0,2,5,10,15.0,8,田中洸多,9,4,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ラッシュフェイス,2018104170,9,475,50.0,4,牝,1600,ダ,良,,10,1,0,1,9,10,15.0,8,深澤杏花,10,7,202247012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
