sire,total_runners,win_rate,top2_rate,top3_rate,avg_finish,turf_top3r,dirt_top3r,sprint_top3r,mile_top3r,middle_top3r,long_top3r
Smart Strike,7,0.1429,0.1429,0.1429,6.0,0.2,0.0,0.0,1.0,0.0,
ドリームバレンチノ,7,0.0,0.0,0.0,7.71,0.0,0.0,0.0,,0.0,
サダムパテック,7,0.0,0.0,0.0,11.29,0.0,0.0,0.0,0.0,0.0,
スパイキュール,7,0.0,0.0,0.1429,7.0,0.5,0.0,0.0,0.5,,
ミスキャスト,7,0.0,0.0,0.0,7.86,0.0,0.0,0.0,,0.0,
アレスバローズ,7,0.2857,0.4286,0.4286,7.57,0.4286,,0.4286,,,
Temple City,7,0.0,0.2857,0.4286,5.43,0.4,0.5,0.5,0.0,0.5,
ラブイズブーシェ,7,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,
Twirling Candy,6,0.1667,0.5,0.8333,3.67,0.6667,1.0,1.0,0.5,1.0,
Lope de Vega,6,0.1667,0.3333,0.3333,4.5,0.3333,,0.0,,0.4,
マスクゾロ,6,0.0,0.0,0.0,9.33,,0.0,0.0,0.0,0.0,
Exceed And Excel,6,0.0,0.1667,0.1667,5.67,0.2,0.0,0.2,0.0,,
Elusive Quality,6,0.1667,0.1667,0.1667,7.67,0.3333,0.0,0.5,0.0,0.0,
Zoffany,6,0.0,0.0,0.0,8.0,0.0,,0.0,0.0,0.0,
マコトスパルビエロ,6,0.0,0.0,0.0,10.33,0.0,0.0,0.0,0.0,0.0,
Wootton Bassett,6,0.0,0.1667,0.1667,8.67,0.2,0.0,,0.0,0.3333,
Oasis Dream,6,0.1667,0.1667,0.1667,6.17,0.0,0.3333,0.2,0.0,,
Good Magic,6,0.3333,0.3333,0.6667,4.0,1.0,0.6,1.0,,0.6,
Street Cry,6,0.1667,0.5,0.5,4.33,0.0,0.6,0.5,0.0,1.0,
Sottsass,6,0.1667,0.1667,0.1667,6.0,0.2,0.0,,0.0,0.25,
セレスハント,6,0.0,0.1667,0.1667,5.83,0.5,0.0,0.2,0.0,,
ゴールデンマンデラ,6,0.0,0.0,0.0,10.17,0.0,0.0,0.0,,0.0,
サクラオリオン,6,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,
ティンバーカントリー,6,0.0,0.0,0.0,11.67,0.0,0.0,0.0,,,
Munnings,6,0.3333,0.3333,0.6667,4.67,0.5,0.75,0.8,,0.0,
Mineshaft,6,0.5,0.8333,0.8333,3.0,0.0,1.0,1.0,0.6667,1.0,
ショウナンバッハ,6,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,
カルストンライトオ,6,0.0,0.0,0.0,10.33,0.0,0.0,0.0,0.0,,
Carpe Diem,6,0.0,0.1667,0.1667,6.33,0.0,0.5,0.25,0.0,,
City of Light,6,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,
Cairo Prince,6,0.1667,0.1667,0.5,5.83,,0.5,0.75,0.0,0.0,
California Chrome,6,0.0,0.0,0.1667,7.67,0.0,0.3333,0.0,,0.2,
テレグノシス,6,0.0,0.1667,0.1667,10.5,0.0,0.25,0.2,0.0,,
サイレントディール,6,0.0,0.0,0.1667,9.5,0.0,0.25,0.0,0.0,0.5,
ゼンノエルシド,5,0.0,0.0,0.0,9.4,0.0,0.0,0.0,,0.0,
Goldencents,5,0.0,0.8,1.0,2.2,1.0,1.0,1.0,1.0,1.0,
ダンツシアトル,5,0.0,0.2,0.2,7.0,0.25,0.0,0.2,,,
トウカイワイルド,5,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,
クレスコグランド,5,0.0,0.0,0.0,8.4,0.0,0.0,0.0,,0.0,
サトノアレス,5,0.0,0.2,0.2,9.6,0.3333,0.0,0.25,,0.0,
クラウンレガーロ,5,0.0,0.0,0.0,10.4,0.0,,0.0,0.0,,
クリーンエコロジー,5,0.2,0.2,0.4,7.8,0.6667,0.0,0.4,,,
グァンチャーレ,5,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,
セイントアレックス,5,0.0,0.0,0.0,10.4,0.0,0.0,0.0,,,
スニッツェル,5,0.0,0.4,0.6,3.6,,0.6,0.6667,,0.5,
ストーミーシー,5,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,
McKinzie,5,0.0,0.0,0.2,6.0,0.0,0.3333,0.3333,0.0,0.0,
