race_id,year,month,course,course_enc,distance,surface,condition,num_horses,class_code,class_label,cond_key,actual_top3,ai_top3,trio_hit,trio_invest,trio_return,umaren_hit,umaren_invest,umaren_return,wide_hit,wide_invest,wide_return,combo_hit,combo_invest,combo_return
02182211,2018,7,函館,1,1700,ダ,稍,14,131,OP,A,"{1: 10, 2: 12, 3: 2}","[2, 10, 6]",True,700,3614,False,700,0.0,True,700,2313.5,True,1000,1652.5
05183410,2018,6,東京,4,1600,芝,重,9,67,2win,B,"{1: 6, 2: 2, 3: 1}","[1, 5, 7]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06181210,2018,1,中山,5,1800,ダ,良,16,131,OP,C,"{1: 2, 2: 13, 3: 16}","[16, 10, 2]",False,700,0,False,700,0.0,True,700,1284.5,True,1000,917.5
07181411,2018,1,中京,6,1800,ダ,良,16,179,G2G3,C,"{1: 8, 2: 6, 3: 3}","[15, 10, 7]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08182311,2018,2,京都,7,1900,ダ,稍,16,131,OP,C,"{1: 1, 2: 8, 3: 9}","[1, 2, 9]",True,700,20394,False,700,0.0,True,700,1641.5,True,1000,1172.5
09181111,2018,2,阪神,8,2000,ダ,良,16,131,OP,C,"{1: 1, 2: 2, 3: 11}","[1, 6, 2]",True,700,7836,True,700,2170.0,True,700,651.0,True,1000,2015.0
06183211,2018,3,中山,5,1800,ダ,良,16,163,G2G3,C,"{1: 8, 2: 14, 3: 4}","[13, 16, 14]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08183911,2018,5,京都,7,1900,ダ,稍,16,163,G2G3,C,"{1: 9, 2: 14, 3: 10}","[6, 1, 5]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06181711,2018,1,中山,5,2200,芝,良,11,179,G2G3,A,"{1: 7, 2: 3, 3: 9}","[1, 7, 3]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06182211,2018,2,中山,5,1800,芝,良,10,179,G2G3,A,"{1: 5, 2: 10, 3: 8}","[4, 3, 5]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08181210,2018,1,京都,7,2000,芝,良,9,67,2win,A,"{1: 7, 2: 3, 3: 1}","[3, 7, 1]",True,700,2152,True,700,1792.0,True,700,1911.0,True,1000,2645.0
08182610,2018,2,京都,7,2400,芝,重,9,67,2win,B,"{1: 5, 2: 7, 3: 6}","[7, 5, 6]",True,700,6012,True,700,1078.0,True,700,5985.0,True,1000,5045.0
09181109,2018,2,阪神,8,2200,芝,良,7,67,2win,E,"{1: 2, 2: 5, 3: 3}","[5, 2, 3]",True,700,594,True,700,2362.5,True,700,1225.0,True,1000,2562.5
09181810,2018,3,阪神,8,2000,芝,良,11,67,2win,A,"{1: 8, 2: 11, 3: 4}","[8, 4, 9]",False,700,0,False,700,0.0,True,700,423.5,True,1000,302.5
09182810,2018,4,阪神,8,1800,芝,稍,13,67,2win,A,"{1: 13, 2: 2, 3: 12}","[8, 2, 13]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08183A11,2018,5,京都,7,2000,芝,良,16,67,2win,C,"{1: 1, 2: 4, 3: 6}","[10, 1, 6]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
09183711,2018,6,阪神,8,1800,芝,重,9,67,2win,B,"{1: 4, 2: 2, 3: 7}","[9, 7, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07183511,2018,7,中京,6,2000,芝,良,6,67,2win,E,"{1: 2, 2: 3, 3: 6}","[1, 3, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08184411,2018,10,京都,7,2000,芝,良,11,67,2win,A,"{1: 6, 2: 4, 3: 7}","[1, 6, 11]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08184810,2018,10,京都,7,2400,芝,良,8,67,2win,A,"{1: 3, 2: 1, 3: 6}","[7, 6, 3]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
09185811,2018,12,阪神,8,2000,芝,稍,14,67,2win,A,"{1: 9, 2: 7, 3: 3}","[2, 9, 10]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06181411,2018,1,中山,5,1200,ダ,良,15,131,OP,D,"{1: 7, 2: 9, 3: 4}","[6, 7, 1]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06181310,2018,1,中山,5,2200,芝,良,9,67,2win,A,"{1: 6, 2: 2, 3: 1}","[6, 2, 9]",True,700,1367,True,700,913.5,True,700,350.0,True,1000,902.5
08182111,2018,1,京都,7,1800,ダ,稍,10,67,2win,A,"{1: 10, 2: 9, 3: 4}","[10, 8, 9]",True,700,1762,True,700,3213.0,True,700,962.5,True,1000,2982.5
08183310,2018,4,京都,7,2400,芝,良,12,67,2win,A,"{1: 8, 2: 10, 3: 2}","[8, 10, 7]",False,700,0,True,700,2093.0,True,700,626.5,True,1000,1942.5
05182710,2018,5,東京,4,2400,芝,良,13,67,2win,A,"{1: 4, 2: 7, 3: 3}","[7, 10, 11]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
09185409,2018,12,阪神,8,2400,芝,良,8,67,2win,A,"{1: 8, 2: 3, 3: 5}","[1, 8, 3]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06185711,2018,12,中山,5,2500,芝,良,13,67,2win,A,"{1: 11, 2: 8, 3: 4}","[11, 2, 6]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07181305,2018,1,中京,6,3330,芝,良,11,131,OP,A,"{1: 1, 2: 8, 3: 9}","[7, 6, 8]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07182305,2018,3,中京,6,3300,芝,稍,14,131,OP,A,"{1: 10, 2: 9, 3: 14}","[14, 3, 9]",True,700,14750,False,700,0.0,True,700,2250.5,True,1000,1607.5
10182704,2018,8,小倉,9,2860,芝,良,8,131,OP,A,"{1: 7, 2: 4, 3: 2}","[6, 2, 4]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07181204,2018,1,中京,6,3000,芝,良,14,7,newcomer,A,"{1: 10, 2: 1, 3: 14}","[9, 1, 7]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08182404,2018,2,京都,7,2910,ダ,良,13,7,newcomer,A,"{1: 7, 2: 9, 3: 12}","[7, 4, 1]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07181404,2018,1,中京,6,3000,芝,良,12,7,newcomer,A,"{1: 12, 2: 2, 3: 3}","[12, 7, 6]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06181412,2018,1,中山,5,1200,芝,良,16,43,1win,D,"{1: 8, 2: 3, 3: 4}","[8, 3, 16]",False,700,0,True,700,2012.5,True,700,602.0,True,1000,1867.5
10181612,2018,2,小倉,9,1200,芝,良,18,43,1win,D,"{1: 5, 2: 11, 3: 18}","[5, 11, 9]",False,700,0,True,700,3685.5,True,700,1106.0,True,1000,3422.5
03181611,2018,4,福島,2,1200,芝,良,16,43,1win,D,"{1: 16, 2: 14, 3: 8}","[14, 16, 2]",False,700,0,True,700,3150.0,True,700,945.0,True,1000,2925.0
08183C12,2018,5,京都,7,1200,芝,良,16,43,1win,D,"{1: 6, 2: 1, 3: 2}","[3, 6, 8]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
02181411,2018,6,函館,1,1200,芝,良,16,43,1win,D,"{1: 1, 2: 11, 3: 7}","[1, 13, 9]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
01182310,2018,8,札幌,0,1200,芝,稍,14,43,1win,D,"{1: 14, 2: 5, 3: 10}","[10, 3, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07183411,2018,7,中京,6,1400,ダ,不,14,163,G2G3,D,"{1: 13, 2: 6, 3: 3}","[1, 13, 2]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08184611,2018,10,京都,7,1200,ダ,良,16,131,OP,D,"{1: 10, 2: 13, 3: 12}","[10, 16, 8]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
09183611,2018,6,阪神,8,1600,芝,良,12,131,OP,A,"{1: 7, 2: 2, 3: 9}","[2, 3, 10]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
03182611,2018,7,福島,2,1200,芝,良,11,131,OP,D,"{1: 9, 2: 1, 3: 11}","[1, 7, 9]",False,700,0,True,700,2411.5,True,700,721.0,True,1000,2237.5
