race_id,horse_id,corner_position_delta,jockey_trainer_combo_top3_exp
0819211109,11100625.0,-3.0,0.0
0819271001,11100625.0,-9.0,0.0
0819331203,11100625.0,-3.0,0.0
0819391002,11100625.0,-5.0,0.0
0820111011,11100625.0,-14.0,0.26666666666666666
0820161107,11100625.0,-14.0,0.0
0918511007,11100625.0,-10.0,0.0
0919271001,11100625.0,-1.0,0.24324324324324326
0919341009,11100625.0,-12.0,0.0
0318111106,11100628.0,,
0518141207,11100628.0,-15.0,0.46153846153846156
0518211208,11100628.0,-3.0,0.2
0618141214,11100628.0,-3.0,0.0
0319160411,11100643.0,,
0320110512,11100643.0,1.0,0.0
0320210405,11100643.0,6.0,
0320310407,11100643.0,6.0,0.0
0322210411,11100643.0,4.0,0.5
0419180414,11100643.0,2.0,
0419290111,11100643.0,8.0,0.0
0419330401,11100643.0,3.0,0.25
0420150410,11100643.0,0.0,0.4
0420330401,11100643.0,2.0,0.3333333333333333
0421430410,11100643.0,0.0,0.2
0421570401,11100643.0,10.0,0.3333333333333333
0422110109,11100643.0,6.0,0.42857142857142855
0422170405,11100643.0,5.0,
0422210807,11100643.0,8.0,
0518150804,11100643.0,1.0,1.0
05182A1205,11100643.0,-6.0,0.0
0519350411,11100643.0,-1.0,0.375
0618281204,11100643.0,2.0,0.3333333333333333
0618371211,11100643.0,1.0,0.38461538461538464
0718131109,11100643.0,4.0,0.0
0718311107,11100643.0,1.0,0.0
0719140412,11100643.0,-1.0,0.3076923076923077
0719430504,11100643.0,4.0,0.2857142857142857
0720350510,11100643.0,1.0,0.2222222222222222
