race_id,category,horses
202502010511,能力,4モリノ7ゾンニ15マイネタイム指数へ
202502010511,上昇度,2ウイン10エーテ14マスク調子偏差値へ
202502010512,能力,3ゴルデ6アーク7レッドタイム指数へ
202502010512,上昇度,1ハミル4グレイ6アーク調子偏差値へ
202502010601,能力,3ムーン4アニマ6マルモタイム指数へ
202502010601,上昇度,2ダイヤ4アニマ5シーグ調子偏差値へ
202502010602,能力,1メイシ2サッポ12ショウタイム指数へ
202502010602,上昇度,5オンサ8ママア10ドラマ調子偏差値へ
202502010603,能力,2ペイシ6アンビ7ヒロノタイム指数へ
202502010603,上昇度,5タッカ7ヒロノ9ブラヴ調子偏差値へ
202502010604,能力,5オオタ6ミッキ9サトミタイム指数へ
202502010604,上昇度,6ミッキ7ジーテ9サトミ調子偏差値へ
202502010606,能力,3ベール8サクラ15レディタイム指数へ
202502010606,上昇度,1ココモ4ファン9ヤマノ調子偏差値へ
202502010607,能力,3デアデ4ナムラ9スウィタイム指数へ
202502010607,上昇度,5グラン7ソアラ9スウィ調子偏差値へ
