race_id,num_horses,tierce_count,tierce_min,tierce_max,tierce_median,tierce_p10
202506040511,12,1320,69.1,44792.7,1654.6,295.7
202506040512,16,3360,32.9,769999.8,14794.6,931.9
202509040501,7,210,18.2,1663.2,217.4,47.4
202509040502,8,336,27.8,3911.4,332.9,80.9
202509040503,5,60,8.0,256.4,49.5,15.2
202509040504,16,3360,41.7,389479.3,8256.4,828.6
202509040505,10,720,35.8,9889.3,914.5,179.4
202509040506,18,4896,122.7,625037.9,9234.2,1230.4
202509040507,13,1716,33.5,88894.7,3630.6,412.6
202509040508,8,336,19.7,7404.5,425.9,76.2
202509040509,13,1716,30.7,87013.8,3514.6,399.2
202509040510,9,504,13.6,20507.0,951.9,118.7
202509040511,14,2184,38.7,71806.7,4105.5,530.0
202509040512,15,2730,230.6,312405.1,3286.1,533.8
202506040601,13,1716,34.7,231452.8,4005.5,397.9
202506040602,14,2184,61.8,99785.5,4591.0,551.6
202506040603,16,3360,73.5,279734.4,6150.1,776.0
202506040604,11,990,22.8,77964.4,2813.6,258.1
202506040605,16,3360,34.4,769999.8,11216.2,856.4
202506040606,11,990,37.3,59941.4,1620.1,225.8
202506040607,18,4896,42.4,769999.8,14007.1,1272.0
202506040608,16,3360,58.1,769999.8,10177.4,875.0
202506040609,13,1716,87.9,26063.7,1775.0,422.7
202506040610,9,504,15.1,29665.9,1037.0,116.8
202506040611,15,2730,50.0,329870.5,6692.6,649.8
202506040612,16,3360,44.4,769999.8,9280.3,786.9
202509040601,10,720,21.8,18330.0,1017.4,137.3
202509040602,7,210,12.6,4841.6,289.6,49.2
202509040603,10,720,44.0,7232.2,782.6,182.1
202509040604,9,504,17.0,23509.0,974.2,124.0
202509040605,14,2184,47.2,48503.7,3215.4,539.3
202509040606,16,3360,34.1,593838.7,10537.4,910.8
202509040607,16,3360,23.4,180288.4,10245.2,1110.0
202509040608,6,120,17.9,368.1,93.6,29.3
202509040609,16,3360,47.5,302745.8,7807.9,835.8
202509040610,7,210,17.6,2536.1,258.7,47.0
202509040611,13,1716,66.1,51144.2,2378.1,402.1
202509040612,16,3360,57.5,256031.8,6901.2,803.6
202506040701,16,3360,31.6,636097.3,17115.2,1070.1
202506040702,16,3360,61.3,769999.8,10758.5,782.6
202506040703,10,720,16.6,22936.8,1680.2,213.8
202506040704,16,3360,55.1,769999.8,10203.8,835.1
202506040705,10,720,24.1,32307.3,1255.3,164.1
202506040706,16,3360,53.5,769999.8,10651.3,894.5
202506040707,16,3360,56.9,686475.5,10026.4,903.0
202506040708,16,3360,56.5,623337.9,7450.4,772.7
202506040709,9,504,19.9,14793.1,824.6,117.3
202506040710,16,3360,48.1,403694.6,8078.5,841.5
202506040711,11,990,43.4,43996.0,1312.4,221.3
202506040712,16,3360,57.9,381677.1,7776.2,812.3
202509040701,8,336,29.2,3601.2,412.3,68.7
202509040702,13,1716,32.7,89094.2,3702.7,409.0
202509040703,11,990,27.2,29127.9,1731.2,252.0
202509040704,13,1716,27.5,58580.2,3600.8,416.3
202509040705,9,504,44.1,7907.5,509.1,120.0
202509040706,9,504,36.4,12688.4,614.6,111.9
202509040707,13,1716,69.3,36152.1,2302.2,377.0
202509040708,13,1716,26.6,102362.4,4798.9,453.7
202509040709,10,720,21.9,27612.4,1257.3,178.6
202509040710,9,504,28.6,6378.3,571.3,121.7
202509040711,10,720,30.3,6863.4,818.2,167.2
202509040712,16,3360,139.9,387502.7,6487.4,764.3
