race_id,num_horses,wide_min,wide_max,wide_median
202006020101,13,2.3,205.3,38.1
202006020102,16,2.9,256.1,58.2
202006020103,13,2.4,197.0,35.2
202006020104,15,3.4,250.7,41.4
202006020105,16,2.6,243.9,61.2
202006020106,11,1.7,121.2,25.6
202006020107,16,5.4,207.0,45.1
202006020108,14,2.5,173.9,44.8
202006020109,9,2.3,83.5,12.2
202006020110,12,3.0,169.8,27.2
202006020111,13,2.6,137.3,29.1
202006020112,16,3.8,244.9,45.3
202007010101,16,3.1,171.8,47.3
202007010102,12,3.8,85.7,21.3
202007010103,18,3.7,254.8,70.2
202007010104,17,3.3,227.9,49.6
202007010105,13,2.3,159.9,32.1
202007010106,15,2.3,191.5,52.0
202007010107,9,1.9,54.9,12.0
202007010108,13,4.9,177.8,30.7
202007010109,11,2.3,78.5,24.0
202007010110,11,3.7,122.6,18.8
202007010111,12,2.2,89.8,31.4
202007010112,18,5.4,196.9,51.5
202009010101,8,1.4,51.6,9.7
202009010102,15,1.9,199.5,49.6
202009010103,10,1.5,57.0,21.0
202009010104,16,4.0,170.8,45.1
202009010105,13,2.3,99.5,31.8
202009010106,13,2.9,139.7,30.9
202009010107,9,1.7,74.8,15.1
202009010108,10,2.7,51.3,17.1
202009010109,12,5.2,127.8,19.4
202009010110,11,3.1,119.7,16.0
202009010111,16,4.5,221.9,48.3
202009010112,9,1.8,59.1,13.7
202006020201,12,2.3,99.9,26.3
202006020202,16,2.6,217.1,52.4
202006020203,15,2.6,175.9,44.6
202006020204,16,2.5,202.2,54.4
202006020205,16,2.6,249.9,53.8
202006020206,9,1.4,111.4,23.1
202006020207,15,2.7,244.2,48.0
202006020208,16,3.7,274.0,50.9
202006020209,8,2.4,34.2,8.9
202006020210,16,3.4,245.6,51.0
202006020211,9,1.7,118.1,16.2
202006020212,13,2.9,130.4,29.1
202007010201,13,2.0,129.3,37.2
202007010202,13,2.2,155.1,34.1
202007010203,15,2.1,169.7,53.7
202007010204,14,5.0,145.0,30.3
202007010205,13,2.0,142.6,35.3
202007010206,10,1.9,91.3,15.6
202007010207,8,1.8,58.5,10.0
202007010208,11,2.3,116.5,23.4
202007010209,11,3.3,87.9,22.0
202007010210,10,2.7,83.7,14.5
202007010211,18,8.5,205.8,45.6
202007010212,16,3.8,196.8,42.1
202009010201,15,2.4,216.8,50.3
202009010202,10,1.7,99.2,18.6
202009010203,14,1.9,177.0,46.3
202009010204,14,2.8,167.4,38.7
202009010205,16,2.4,176.4,62.3
202009010206,10,1.8,93.6,19.4
202009010207,10,2.2,79.0,17.3
202009010208,9,1.7,85.0,13.9
202009010209,11,1.9,123.0,20.4
202009010210,6,1.5,20.5,4.7
202009010211,18,3.2,215.7,66.9
202009010212,16,3.7,203.6,44.4
202006020301,16,2.4,219.8,63.7
202006020302,13,2.5,168.3,35.3
202006020303,16,1.8,225.2,71.0
202006020304,12,2.3,165.8,38.5
202006020305,16,2.7,233.0,56.7
202006020306,16,2.2,233.1,57.3
202006020307,8,1.5,80.2,10.8
202006020308,9,2.1,97.9,14.5
202006020309,9,1.9,72.7,14.5
202006020310,12,2.7,127.1,25.8
202006020311,16,1.7,210.7,75.7
202006020312,16,3.1,252.7,74.5
202007010301,11,3.5,90.1,17.2
202007010302,16,3.9,221.0,44.2
202007010303,15,2.0,200.1,54.0
202007010304,13,2.5,122.8,32.0
202007010305,14,3.2,150.9,33.8
202007010306,14,3.9,201.6,35.8
202007010307,11,2.4,153.9,27.3
202007010308,16,3.3,198.4,48.9
202007010309,10,2.1,85.6,22.3
202007010310,13,2.6,143.4,32.3
202007010311,18,3.0,221.6,68.6
202007010312,16,3.1,191.9,51.3
202009010301,9,2.2,66.8,12.1
202009010302,13,1.8,126.2,44.8
202009010303,12,1.7,126.2,34.8
202009010304,16,4.9,248.7,52.0
202009010305,14,3.2,177.0,36.4
202009010306,10,2.6,68.2,16.6
202009010307,16,3.1,199.8,54.9
202009010308,11,3.7,92.2,16.8
202009010309,12,2.6,162.4,26.3
202009010310,11,2.5,125.6,22.6
202009010311,14,2.4,142.9,39.7
202009010312,16,3.1,181.0,45.6
202006020401,15,2.1,216.9,54.4
202006020402,16,2.7,247.9,73.0
202006020403,14,2.1,195.0,51.0
202006020404,16,2.0,231.5,80.6
202006020405,16,1.9,226.5,66.7
202006020406,9,1.6,52.5,17.3
202006020407,16,2.8,257.5,58.1
202006020408,11,2.4,174.3,26.2
202006020409,16,5.3,262.0,45.6
202006020410,16,3.4,218.7,45.2
202006020411,11,1.7,93.8,22.4
202006020412,13,3.1,185.8,32.4
202007010401,11,2.1,110.3,21.5
202007010402,18,3.7,254.9,67.1
202007010403,13,2.6,97.5,31.7
202007010404,14,2.5,179.4,39.3
202007010405,17,2.2,214.9,86.0
202007010406,14,2.2,153.8,41.8
202007010407,11,2.4,72.7,17.6
202007010408,7,1.5,51.7,6.9
202007010409,18,3.3,256.9,60.1
202007010410,10,3.2,38.3,13.7
202007010411,13,2.7,156.8,31.7
202007010412,16,3.4,218.9,55.2
202009010401,16,2.5,206.7,55.2
202009010402,13,2.6,146.0,29.3
202009010403,13,2.4,184.4,36.2
202009010404,15,2.8,240.2,53.3
202009010405,16,3.6,234.3,55.7
202009010406,8,1.9,31.0,10.9
202009010407,12,2.7,152.6,28.2
202009010408,11,2.3,127.3,21.7
202009010409,7,1.8,28.4,6.3
202009010410,16,2.5,198.5,56.2
202009010411,16,3.5,187.0,44.4
202009010412,15,3.0,231.4,43.6
202006020501,16,3.4,259.4,62.5
202006020502,16,1.7,203.4,72.2
202006020503,16,2.2,216.9,60.4
202006020504,16,2.6,256.5,52.1
202006020505,16,3.2,254.1,55.8
202006020506,16,5.0,256.0,57.6
202006020507,15,2.7,219.8,48.3
202006020508,15,2.9,206.7,45.7
202006020509,10,2.5,141.4,20.8
202006020510,16,3.0,211.7,52.9
202006020511,16,2.9,175.5,50.5
202006020512,16,3.7,233.8,48.0
202007010501,12,2.5,133.0,25.9
202007010502,16,2.2,188.9,63.5
202007010503,16,4.4,214.2,41.2
202007010504,18,3.0,232.7,74.1
202007010505,16,2.5,168.7,50.3
202007010506,16,5.9,197.3,39.2
202007010507,14,3.1,205.3,31.8
202007010508,16,2.7,179.5,47.9
202007010509,13,2.4,89.5,31.1
202007010510,10,2.3,111.4,17.5
202007010511,18,5.1,232.6,53.5
202007010512,16,5.2,220.7,39.6
202009010501,11,2.1,134.8,25.2
202009010502,13,2.2,166.4,35.8
202009010503,16,2.6,231.1,54.5
202009010504,13,2.2,117.7,32.9
202009010505,16,2.7,197.5,50.3
202009010506,11,2.4,141.2,23.5
202009010507,11,1.9,123.1,24.1
202009010508,9,1.7,75.7,12.5
202009010509,11,3.3,173.5,21.5
202009010510,11,2.5,113.5,24.1
