race_id,course,race_num,race_name,condition,num_horses,distance,surface,track_condition,top1_num,top1_name,top1_score,top2_num,top3_num,top1_finish,top2_finish,top3_finish,trio_bets,trio_result,bet_type,trio_hit,trio_payout,umaren_payout,actual_payout,investment,profit,status,date,umaren_hit,trio_bets_str,top2_name,top2_score,top3_name,top3_score,top1_num_recovered,top1_num_dp,top1_num_final,track_code,track,horse_num,odds,pop_rank,hit
202608030312,京都,12,4歳以上1勝クラス,A,,1600.0,芝,,,,,,,3,5,2,,1-4-5,trio,1.0,2390,0,2390.0,700,1690.0,settled,20260502,0.0,1-4-5; 1-4-7; 1-5-6; 1-5-7; 1-5-9; 1-6-7; 1-7-9,,,,,1.0,,1.0,08,京都,1.0,13.7,6.0,True
202604010201,新潟,1,3歳未勝利,C,,2000.0,芝,,,,,,,2,7,4,,1-10-16,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,1-6-12; 1-6-14; 1-10-12; 1-10-14; 1-12-14; 1-12-16; 1-14-16,,,,,1.0,,1.0,04,新潟,1.0,29.1,10.0,False
202604010202,新潟,2,3歳未勝利,D,,1200.0,ダ,,,,,,,7,2,1,,10-12-13,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,3-7-10; 3-7-13; 6-7-10; 6-7-13; 7-10-12; 7-10-13; 7-12-13,,,,,7.0,,7.0,04,新潟,7.0,6.6,3.0,False
202604010203,新潟,3,3歳未勝利,A,,1800.0,ダ,,,,,,,2,4,3,,3-6-14,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,2-3-6; 2-6-11; 3-5-6; 3-6-11; 3-6-12; 5-6-11; 6-11-12,,,,,6.0,,6.0,04,新潟,6.0,17.5,8.0,False
202604010205,新潟,5,3歳未勝利,A,,1800.0,芝,,,,,,,11,5,4,,5-9-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,1-2-3; 1-2-4; 1-2-9; 1-2-13; 1-3-4; 1-3-9; 1-3-13,,,,,1.0,,1.0,04,新潟,1.0,48.9,12.0,False
202604010206,新潟,6,4歳以上1勝クラス,A,,1800.0,ダ,,,,,,,1,4,3,,3-8-10,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,1-4-10; 1-8-10; 4-6-10; 4-8-10; 4-10-11; 6-8-10; 8-10-11,,,,,10.0,,10.0,04,新潟,10.0,13.6,9.0,False
202604010207,新潟,7,4歳以上1勝クラス,D,,1400.0,芝,,,,,,,1,7,8,,1-9-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,1-4-5; 1-4-13; 1-5-7; 1-5-13; 1-5-15; 1-7-13; 1-13-15,,,,,1.0,,1.0,04,新潟,1.0,47.9,15.0,False
202604010208,新潟,8,4歳以上1勝クラス,A,,1800.0,芝,,,,,,,8,2,1,,4-5-6,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,1-4-7; 1-6-7; 3-4-7; 3-6-7; 4-6-7; 4-7-9; 6-7-9,,,,,7.0,,7.0,04,新潟,7.0,9.1,5.0,False
202604010209,新潟,9,咲花特別,A,,1800.0,ダ,,,,,,,1,3,11,,3-4-8,trio,1.0,670,0,670.0,700,-30.0,settled,20260503,0.0,1-3-4; 1-4-8; 1-4-9; 1-4-12; 3-4-8; 4-8-9; 4-8-12,,,,,4.0,,4.0,04,新潟,4.0,21.0,7.0,True
202604010211,新潟,11,越後S,D,,1200.0,ダ,,,,,,,2,8,10,,3-4-10,trio,0.0,0,0,0.0,700,-700.0,settled,20260503,0.0,1-2-10; 1-3-10; 1-4-10; 1-10-15; 2-10-15; 3-10-15; 4-10-15,,,,,10.0,,10.0,04,新潟,10.0,16.0,9.0,False
202604010212,新潟,12,4歳以上1勝クラス,D,,1200.0,ダ,,,,,,,1,6,2,,3-4-10,trio,1.0,3680,0,3680.0,700,2980.0,settled,20260503,0.0,3-4-5; 3-4-10; 3-5-7; 3-5-9; 3-5-10; 3-7-10; 3-9-10,,,,,3.0,,3.0,04,新潟,3.0,22.6,10.0,True
