race_id,num_horses,umaren_count,umaren_min,umaren_max,umaren_median,umaren_p10
202005010308,15,105,18.3,6678.4,365.6,59.5
202005010309,16,120,18.1,9999.8,341.9,63.7
202005010310,11,55,8.5,806.9,192.0,31.7
202005010311,16,120,10.6,9999.8,492.8,72.2
202005010312,15,105,24.3,2237.2,251.3,67.6
202008020301,12,66,6.9,2097.2,291.2,42.3
202008020302,12,66,8.0,1363.2,215.0,43.0
202008020303,15,105,13.3,3977.9,351.4,54.3
202008020304,12,66,13.4,1036.2,186.1,30.0
202008020305,12,66,16.3,1468.4,175.8,38.6
202008020306,16,120,15.5,3669.9,375.7,69.1
202008020307,16,120,15.4,6070.2,432.7,79.9
202008020308,15,105,8.3,6450.7,502.9,59.7
202008020309,12,66,15.8,746.7,140.3,43.0
202008020310,12,66,16.4,1240.4,192.8,34.3
202008020311,16,120,8.4,8585.6,632.9,111.7
202008020312,9,36,10.4,541.0,74.7,24.9
202010010701,14,91,12.1,1600.6,229.4,55.2
202010010702,16,120,33.7,3882.2,229.1,58.6
202010010703,15,105,8.0,5863.0,517.0,73.7
202010010704,17,136,13.5,5539.6,414.3,74.3
202010010705,10,45,8.0,764.7,134.0,23.3
202010010706,10,45,17.5,620.3,93.2,24.2
202010010707,10,45,7.6,1076.2,139.0,31.2
202010010708,13,78,11.6,1558.8,246.3,45.8
202010010709,11,55,12.1,1129.5,138.6,27.2
202010010710,15,105,20.6,5091.7,268.9,56.1
202010010711,12,66,17.7,815.8,147.6,41.9
202010010712,17,136,17.7,5022.8,330.6,79.0
202005010401,16,120,12.4,9999.8,533.8,68.4
202005010402,15,105,10.7,9999.8,432.2,54.4
202005010403,16,120,15.2,4421.8,328.8,75.4
202005010404,16,120,11.8,9999.8,584.5,74.7
202005010405,16,120,10.9,9999.8,490.4,67.7
202005010406,16,120,12.9,9999.8,495.3,51.0
202005010407,12,66,13.3,2428.4,180.0,30.1
202005010408,16,120,24.9,9999.8,501.5,48.5
202005010409,9,36,10.0,334.0,69.1,27.4
202005010410,16,120,11.3,2855.7,407.4,62.1
202005010411,16,120,13.9,1769.9,327.2,73.8
202005010412,13,78,9.0,7436.0,331.1,52.3
202008020401,16,120,10.6,3318.1,390.6,73.1
202008020402,15,105,7.0,9999.8,526.5,57.3
202008020403,12,66,9.2,1247.6,229.3,38.2
