date,race_id,race_num,formation,n_bets,inv,pay,hit
20260426,202603010607,7,V15+T1-T4-T5+T1-T4-T6_9,9,900,2750.0,1
20260426,202603010607,7,V15+T2-T3-T4_8,8,800,2750.0,1
20260426,202603010607,7,Box5_10,10,1000,2750.0,1
20260426,202603010607,7,Box6_20,20,2000,2750.0,1
20260426,202603010607,7,2axis_4,4,700,4812.5,1
20260426,202603010608,8,V15_baseline_7,7,700,1250.0,1
20260426,202603010608,8,V15+T1-T4-T5_8,8,800,1250.0,1
20260426,202603010608,8,V15+T14_T15_T16_10,10,1000,1250.0,1
20260426,202603010608,8,V15+T1-T4-T5+T1-T4-T6_9,9,900,1250.0,1
20260426,202603010608,8,V15+T2-T3-T4_8,8,800,1250.0,1
20260426,202603010608,8,Box5_10,10,1000,0.0,0
20260426,202603010608,8,Box6_20,20,2000,1250.0,1
20260426,202603010608,8,2axis_4,4,700,2187.5,1
20260426,202603010609,9,V15_baseline_7,7,700,0.0,0
20260426,202603010609,9,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202603010609,9,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202603010609,9,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202603010609,9,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202603010609,9,Box5_10,10,1000,0.0,0
20260426,202603010609,9,Box6_20,20,2000,0.0,1
20260426,202603010609,9,2axis_4,4,700,0.0,0
20260426,202603010610,10,V15_baseline_7,7,700,0.0,0
20260426,202603010610,10,V15+T1-T4-T5_8,8,800,0.0,0
