race_id,date,course,race_num,race_name,condition,top1_score,base_inv,base_pay,base_pnl,s7only_recommended,s7only_inv,s7only_pay,v2_recommended,v2_bet_size,v2_inv,v2_pay,v2_pnl,v2_ev_top1,v2_p_calibrated,v2_strategy_7_pass,v2_reason
202609020812,20260419.0,阪神,12,4歳以上2勝クラス,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010501,20260425.0,福島,1,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010502,20260425.0,福島,2,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010503,20260425.0,福島,3,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010504,20260425.0,福島,4,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010505,20260425.0,福島,5,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010506,20260425.0,福島,6,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010507,20260425.0,福島,7,4歳以上1勝クラス,D,,700.0,3840.0,3140.0,True,700,3840.0,True,700,700,3840.0,3140.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010508,20260425.0,福島,8,4歳以上1勝クラス,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010509,20260425.0,福島,9,雪うさぎ賞,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010510,20260425.0,福島,10,医王寺特別,D,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202603010511,20260425.0,福島,11,福島中央テレビ杯,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202603010512,20260425.0,福島,12,4歳以上1勝クラス,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020101,20260425.0,東京,1,3歳未勝利,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020102,20260425.0,東京,2,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020103,20260425.0,東京,3,3歳未勝利,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020104,20260425.0,東京,4,3歳未勝利,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020105,20260425.0,東京,5,3歳未勝利,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020106,20260425.0,東京,6,3歳1勝クラス,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020107,20260425.0,東京,7,4歳以上1勝クラス,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020108,20260425.0,東京,8,4歳以上1勝クラス,A,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202605020109,20260425.0,東京,9,石和特別,A,,700.0,0.0,-700.0,False,0,0.0,False,0,0,0.0,0.0,0.0,0.0,False,strategy_7_06_tokubetsu
202605020110,20260425.0,東京,10,鎌倉S,D,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
